,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
411,CHEROKEE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,2770,2708.0,2677.0,2543.0,2378,840,854,859,858,736,333,421.0,274,132,98,112,127,145,972,952.0,971,985,881,,,,,,2770,2708.0,2677.0,2543.0,2378,130111000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Cherokee High School,Cherokee County,13057.0,30114.0,Canton,84,63,2770,2378.0,2,0,1745,1654,204,225,711,403,24,25,0,8,1301110.0
412,CHEROKEE RIDGE ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,590,639.0,651.0,653.0,647,342,402,394,437,429,200,264.0,236,87,76,104,83,91,429,478.0,498,520,520,475,504.0,508.0,516.0,514,,,,,,130537000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cherokee Ridge Elementary,Walker County,13295.0,30707.0,Chickamauga,29,11,590,647.0,0,0,510,597,31,22,18,16,2,0,0,1,1305370.0
413,CHESNEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1180,1212.0,1233.0,1140.0,1155,806,899,925,863,847,255,413.0,373,122,87,117,99,117,928,986.0,1042,962,964,980,998.0,1019.0,946.0,933,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chesney Elementary School,Gwinnett County,13135.0,30096.0,Duluth,44,17,1180,1155.0,2,0,58,62,349,323,602,614,122,139,3,0,1302550.0
414,CHESNUT ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,445,453.0,462.0,463.0,452,123,164,131,153,118,47,69.0,59,39,34,24,23,24,162,198.0,155,176,142,349,366.0,360.0,373.0,354,,,,,,130174000000.0,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chesnut Elementary School,DeKalb County,13089.0,30338.0,Dunwoody,21,14,445,452.0,1,0,124,172,129,164,120,75,46,27,4,0,1301740.0
415,CHESTATEE ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1255,992.0,1007.0,994.0,967,381,351,367,414,409,178,187.0,194,62,40,55,49,44,443,391.0,422,463,453,1012,826.0,833.0,811.0,788,,,,,,130222000000.0,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chestatee Elementary,Forsyth County,13117.0,30506.0,Gainesville,41,25,1255,967.0,0,1,961,766,19,15,226,152,7,8,1,0,1302220.0
416,CHESTATEE HIGH SCHOOL,Georgia,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,1323,1378.0,1333.0,1289.0,1254,528,632,589,607,602,252,367.0,320,95,70,78,63,80,623,702.0,667,670,682,,,,,,1323,1378.0,1333.0,1289.0,1254,130261000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chestatee High School,Hall County,13139.0,30506.0,Gainesville,15,17,1323,1254.0,2,6,628,690,22,22,639,498,15,17,2,4,1302610.0
417,CHESTATEE MIDDLE SCHOOL,Georgia,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,959,1026.0,1044.0,1007.0,1008,474,581,552,558,576,249,337.0,308,71,73,68,62,76,545,654.0,620,620,652,949,1026.0,1044.0,1007.0,1008,,,,,,130261000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chestatee Middle School,Hall County,13139.0,30506.0,Gainesville,17,12,959,1008.0,0,2,437,495,22,21,470,466,12,11,1,1,1302610.0
418,CHESTNUT LOG MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,740,693.0,714.0,678.0,711,507,477,482,429,489,277,265.0,281,72,51,69,70,64,579,528.0,551,499,553,730,693.0,714.0,678.0,711,,,,,,130186000000.0,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chestnut Log Middle School,Douglas County,13097.0,30135.0,Douglasville,35,34,740,711.0,2,2,98,146,425,401,164,115,16,12,0,1,1301860.0
419,CHESTNUT MOUNTAIN ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,738,761.0,753.0,710.0,656,185,217,222,220,228,97,134.0,134,48,47,42,47,35,233,264.0,264,267,263,628,642.0,637.0,592.0,556,,,,,,130261000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chestnut Mountain Elementary School,Hall County,13139.0,30542.0,Flowery Branch,25,31,738,656.0,0,0,525,467,32,24,143,112,12,21,1,1,1302610.0
420,CHICKAMAUGA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,530,539.0,512.0,550.0,560,93,114,96,115,101,56,36.0,48,27,29,32,36,30,120,143.0,128,151,131,436,438.0,433.0,465.0,475,,,,,,130114000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chickamauga Elementary School,Walker County,13295.0,30707.0,Chickamauga,12,9,530,560.0,0,0,504,538,2,0,10,8,2,5,0,0,1301140.0
421,CHICOPEE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,716,727.0,735.0,761.0,771,619,636,639,696,643,309,348.0,368,51,51,25,38,52,670,687.0,664,734,695,588,596.0,624.0,643.0,635,,,,,,130261000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chicopee Elementary School,Hall County,13139.0,30507.0,Gainesville,3,5,716,771.0,0,0,68,82,32,33,609,637,4,11,0,3,1302610.0
422,CHURCH STREET ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,835,995.0,978.0,967.0,970,775,990,973,962,927,314,567.0,610,0,0,0,0,0,775,990.0,973,962,927,678,818.0,813.0,796.0,774,,,,,,130123000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Church Street Elementary School,Clayton County,13063.0,30274.0,Riverdale,15,22,835,970.0,0,2,6,13,669,788,118,87,27,54,0,4,1301230.0
423,CIRRUS CHARTER ACADEMY,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,,,430,438.0,467.0,,,430,438,.,,,271,294.0,3,0,0,.,,,430,438.0,3,,,371,389.0,419.0,,,,,,,,130024000000.0,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,,,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,,,8th Grade,Kindergarten,Cirrus Charter Academy,Bibb County,13021.0,31204.0,Macon,6,,430,,0,,12,,409,,2,,1,,0,,1300239.0
424,CITY PARK ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,707,738.0,815.0,832.0,836,620,559,637,666,690,250,277.0,364,47,44,40,54,56,667,603.0,677,720,746,532,571.0,641.0,636.0,612,,,,,,130162000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Provision 2,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,City Park Elementary School,Whitfield County,13313.0,30720.0,Dalton,16,32,707,836.0,0,0,102,158,52,52,516,569,17,21,4,4,1301620.0
425,CLAIREMONT ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,327,348.0,344.0,335.0,319,71,87,93,99,100,31,76.0,26,2,3,5,6,5,73,90.0,98,105,105,223,243.0,245.0,243.0,263,,,,,,130168000000.0,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,3rd Grade,Prekindergarten,Clairemont Elementary School,DeKalb County,13089.0,30030.0,Decatur,27,17,327,319.0,1,0,163,172,93,111,10,11,33,7,0,1,1301680.0
426,CLARK CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1234,1185.0,1093.0,1040.0,974,468,444,432,422,432,171,180.0,149,89,79,64,62,59,557,523.0,496,484,491,986,980.0,911.0,857.0,788,,,,,,130111000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clark Creek Elementary School,Cherokee County,13057.0,30102.0,Acworth,68,46,1234,974.0,4,3,630,516,197,127,267,249,68,30,0,3,1301110.0
427,CLARKDALE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,763,787.0,750.0,698.0,688,532,553,542,504,493,262,256.0,300,106,80,62,83,62,638,633.0,604,587,555,621,667.0,634.0,588.0,555,,,,,,130129000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clarkdale Elementary School,Cobb County,13067.0,30106.0,Austell,21,20,763,688.0,0,1,74,72,429,434,232,151,6,9,1,1,1301290.0
428,CLARKE CENTRAL HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,1771,1690.0,1525.0,1419.0,1429,1630,1556,1405,1307,900,567,539.0,644,0,0,0,0,102,1630,1556.0,1405,1307,1002,,,,,,1771,1690.0,1525.0,1419.0,1429,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Clarke Central High School,Clarke County,13059.0,30605.0,Athens,68,38,1771,1429.0,0,1,431,292,807,738,422,323,40,32,3,5,1301170.0
429,CLARKE MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,789,764.0,720.0,693.0,676,726,703,663,638,396,338,284.0,286,0,0,0,0,34,726,703.0,663,638,430,779,764.0,720.0,693.0,676,,,,,,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Clarke Middle School,Clarke County,13059.0,30606.0,Athens,32,36,789,676.0,4,0,269,220,381,331,86,78,17,11,0,0,1301170.0
430,CLARKESVILLE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,423,447.0,417.0,432.0,451,209,221,194,191,188,113,116.0,144,27,36,34,35,36,236,257.0,228,226,224,316,338.0,327.0,324.0,350,,,,,,130258000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clarkesville Elementary School,Habersham County,13137.0,30523.0,Clarkesville,21,7,423,451.0,0,0,347,381,8,13,40,46,7,4,0,0,1302580.0
431,CLARKSTON HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1422,1523.0,1569.0,1642.0,1544,1422,1523,1569,1340,1234,654,779.0,733,0,0,0,57,70,1422,1523.0,1569,1397,1304,,,,,,1422,1523.0,1569.0,1642.0,1544,130174000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Clarkston High School,DeKalb County,13089.0,30021.0,Clarkston,8,12,1422,1544.0,1,2,51,47,843,975,51,52,467,455,1,1,1301740.0
432,CLASSIC CITY HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,76,109.0,134.0,117.0,101,70,100,123,108,63,34,47.0,71,0,0,0,0,3,70,100.0,123,108,66,,,,,,76,109.0,134.0,117.0,101,130117000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Classic City High School,Clarke County,13059.0,30606.0,Athens,4,5,76,101.0,0,0,12,24,44,54,16,18,0,0,0,0,1301170.0
433,CLAXTON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1002,1023.0,1013.0,1027.0,1064,1002,1023,1013,1024,1042,567,544.0,614,0,0,0,0,0,1002,1023.0,1013,1024,1042,746,737.0,750.0,746.0,781,,,,,,130207000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Claxton Elementary School,Evans County,13109.0,30417.0,Claxton,36,18,1002,1064.0,0,0,338,405,361,368,263,270,4,3,0,0,1302070.0
434,CLAXTON HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,449,461.0,429.0,407.0,419,449,461,429,404,411,202,200.0,234,0,0,0,0,0,449,461.0,429,404,411,,,,,,449,461.0,429.0,407.0,419,130207000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Claxton High School,Evans County,13109.0,30417.0,Claxton,12,7,449,419.0,0,0,163,195,157,144,110,72,7,1,0,0,1302070.0
435,CLAXTON MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,419,425.0,415.0,423.0,421,419,425,415,420,413,243,225.0,199,0,0,0,0,0,419,425.0,415,420,413,409,425.0,415.0,423.0,421,,,,,,130207000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Claxton Middle School,Evans County,13109.0,30417.0,Claxton,7,7,419,421.0,0,0,162,160,133,149,114,99,3,6,0,0,1302070.0
