School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
CHEROKEE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,2770,2708,2677,2543,2378,840,854,859,858,736,333,421,274,132,98,112,127,145,972,952,971,985,881,NA,NA,NA,NA,NA,2770,2708,2677,2543,2378,1.30111E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Cherokee High School,Cherokee County,13057,30114,Canton,84,63,2770,2378,2,0,1745,1654,204,225,711,403,24,25,0,8,1301110
CHEROKEE RIDGE ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,590,639,651,653,647,342,402,394,437,429,200,264,236,87,76,104,83,91,429,478,498,520,520,475,504,508,516,514,NA,NA,NA,NA,NA,1.30537E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Cherokee Ridge Elementary,Walker County,13295,30707,Chickamauga,29,11,590,647,0,0,510,597,31,22,18,16,2,0,0,1,1305370
CHESNEY ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1180,1212,1233,1140,1155,806,899,925,863,847,255,413,373,122,87,117,99,117,928,986,1042,962,964,980,998,1019,946,933,NA,NA,NA,NA,NA,1.30255E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chesney Elementary School,Gwinnett County,13135,30096,Duluth,44,17,1180,1155,2,0,58,62,349,323,602,614,122,139,3,0,1302550
CHESNUT ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,445,453,462,463,452,123,164,131,153,118,47,69,59,39,34,24,23,24,162,198,155,176,142,349,366,360,373,354,NA,NA,NA,NA,NA,1.30174E+11,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chesnut Elementary School,DeKalb County,13089,30338,Dunwoody,21,14,445,452,1,0,124,172,129,164,120,75,46,27,4,0,1301740
CHESTATEE ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1255,992,1007,994,967,381,351,367,414,409,178,187,194,62,40,55,49,44,443,391,422,463,453,1012,826,833,811,788,NA,NA,NA,NA,NA,1.30222E+11,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chestatee Elementary,Forsyth County,13117,30506,Gainesville,41,25,1255,967,0,1,961,766,19,15,226,152,7,8,1,0,1302220
CHESTATEE HIGH SCHOOL,Georgia,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,1323,1378,1333,1289,1254,528,632,589,607,602,252,367,320,95,70,78,63,80,623,702,667,670,682,NA,NA,NA,NA,NA,1323,1378,1333,1289,1254,1.30261E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Chestatee High School,Hall County,13139,30506,Gainesville,15,17,1323,1254,2,6,628,690,22,22,639,498,15,17,2,4,1302610
CHESTATEE MIDDLE SCHOOL,Georgia,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,959,1026,1044,1007,1008,474,581,552,558,576,249,337,308,71,73,68,62,76,545,654,620,620,652,949,1026,1044,1007,1008,NA,NA,NA,NA,NA,1.30261E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chestatee Middle School,Hall County,13139,30506,Gainesville,17,12,959,1008,0,2,437,495,22,21,470,466,12,11,1,1,1302610
CHESTNUT LOG MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,740,693,714,678,711,507,477,482,429,489,277,265,281,72,51,69,70,64,579,528,551,499,553,730,693,714,678,711,NA,NA,NA,NA,NA,1.30186E+11,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Chestnut Log Middle School,Douglas County,13097,30135,Douglasville,35,34,740,711,2,2,98,146,425,401,164,115,16,12,0,1,1301860
CHESTNUT MOUNTAIN ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,738,761,753,710,656,185,217,222,220,228,97,134,134,48,47,42,47,35,233,264,264,267,263,628,642,637,592,556,NA,NA,NA,NA,NA,1.30261E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chestnut Mountain Elementary School,Hall County,13139,30542,Flowery Branch,25,31,738,656,0,0,525,467,32,24,143,112,12,21,1,1,1302610
CHICKAMAUGA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,530,539,512,550,560,93,114,96,115,101,56,36,48,27,29,32,36,30,120,143,128,151,131,436,438,433,465,475,NA,NA,NA,NA,NA,1.30114E+11,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chickamauga Elementary School,Walker County,13295,30707,Chickamauga,12,9,530,560,0,0,504,538,2,0,10,8,2,5,0,0,1301140
CHICOPEE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,716,727,735,761,771,619,636,639,696,643,309,348,368,51,51,25,38,52,670,687,664,734,695,588,596,624,643,635,NA,NA,NA,NA,NA,1.30261E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Chicopee Elementary School,Hall County,13139,30507,Gainesville,3,5,716,771,0,0,68,82,32,33,609,637,4,11,0,3,1302610
CHURCH STREET ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,835,995,978,967,970,775,990,973,962,927,314,567,610,0,0,0,0,0,775,990,973,962,927,678,818,813,796,774,NA,NA,NA,NA,NA,1.30123E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Church Street Elementary School,Clayton County,13063,30274,Riverdale,15,22,835,970,0,2,6,13,669,788,118,87,27,54,0,4,1301230
CIRRUS CHARTER ACADEMY,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,NA,NA,430,438,467,NA,NA,430,438,.,NA,NA,271,294,3,0,0,.,NA,NA,430,438,3,NA,NA,371,389,419,NA,NA,NA,NA,NA,NA,NA,1.30024E+11,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,NA,NA,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,NA,NA,8th Grade,Kindergarten,Cirrus Charter Academy,Bibb County,13021,31204,Macon,6,NA,430,NA,0,NA,12,NA,409,NA,2,NA,1,NA,0,NA,1300239
CITY PARK ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,707,738,815,832,836,620,559,637,666,690,250,277,364,47,44,40,54,56,667,603,677,720,746,532,571,641,636,612,NA,NA,NA,NA,NA,1.30162E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Provision 2,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Prekindergarten,City Park Elementary School,Whitfield County,13313,30720,Dalton,16,32,707,836,0,0,102,158,52,52,516,569,17,21,4,4,1301620
CLAIREMONT ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,327,348,344,335,319,71,87,93,99,100,31,76,26,2,3,5,6,5,73,90,98,105,105,223,243,245,243,263,NA,NA,NA,NA,NA,1.30168E+11,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,3rd Grade,Prekindergarten,Clairemont Elementary School,DeKalb County,13089,30030,Decatur,27,17,327,319,1,0,163,172,93,111,10,11,33,7,0,1,1301680
CLARK CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1234,1185,1093,1040,974,468,444,432,422,432,171,180,149,89,79,64,62,59,557,523,496,484,491,986,980,911,857,788,NA,NA,NA,NA,NA,1.30111E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clark Creek Elementary School,Cherokee County,13057,30102,Acworth,68,46,1234,974,4,3,630,516,197,127,267,249,68,30,0,3,1301110
CLARKDALE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,763,787,750,698,688,532,553,542,504,493,262,256,300,106,80,62,83,62,638,633,604,587,555,621,667,634,588,555,NA,NA,NA,NA,NA,1.30129E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clarkdale Elementary School,Cobb County,13067,30106,Austell,21,20,763,688,0,1,74,72,429,434,232,151,6,9,1,1,1301290
CLARKE CENTRAL HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,1771,1690,1525,1419,1429,1630,1556,1405,1307,900,567,539,644,0,0,0,0,102,1630,1556,1405,1307,1002,NA,NA,NA,NA,NA,1771,1690,1525,1419,1429,1.30117E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Clarke Central High School,Clarke County,13059,30605,Athens,68,38,1771,1429,0,1,431,292,807,738,422,323,40,32,3,5,1301170
CLARKE MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,789,764,720,693,676,726,703,663,638,396,338,284,286,0,0,0,0,34,726,703,663,638,430,779,764,720,693,676,NA,NA,NA,NA,NA,1.30117E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Clarke Middle School,Clarke County,13059,30606,Athens,32,36,789,676,4,0,269,220,381,331,86,78,17,11,0,0,1301170
CLARKESVILLE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,423,447,417,432,451,209,221,194,191,188,113,116,144,27,36,34,35,36,236,257,228,226,224,316,338,327,324,350,NA,NA,NA,NA,NA,1.30258E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Clarkesville Elementary School,Habersham County,13137,30523,Clarkesville,21,7,423,451,0,0,347,381,8,13,40,46,7,4,0,0,1302580
CLARKSTON HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1422,1523,1569,1642,1544,1422,1523,1569,1340,1234,654,779,733,0,0,0,57,70,1422,1523,1569,1397,1304,NA,NA,NA,NA,NA,1422,1523,1569,1642,1544,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Clarkston High School,DeKalb County,13089,30021,Clarkston,8,12,1422,1544,1,2,51,47,843,975,51,52,467,455,1,1,1301740
CLASSIC CITY HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,76,109,134,117,101,70,100,123,108,63,34,47,71,0,0,0,0,3,70,100,123,108,66,NA,NA,NA,NA,NA,76,109,134,117,101,1.30117E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Classic City High School,Clarke County,13059,30606,Athens,4,5,76,101,0,0,12,24,44,54,16,18,0,0,0,0,1301170
CLAXTON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1002,1023,1013,1027,1064,1002,1023,1013,1024,1042,567,544,614,0,0,0,0,0,1002,1023,1013,1024,1042,746,737,750,746,781,NA,NA,NA,NA,NA,1.30207E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Claxton Elementary School,Evans County,13109,30417,Claxton,36,18,1002,1064,0,0,338,405,361,368,263,270,4,3,0,0,1302070
CLAXTON HIGH SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,449,461,429,407,419,449,461,429,404,411,202,200,234,0,0,0,0,0,449,461,429,404,411,NA,NA,NA,NA,NA,449,461,429,407,419,1.30207E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Claxton High School,Evans County,13109,30417,Claxton,12,7,449,419,0,0,163,195,157,144,110,72,7,1,0,0,1302070
CLAXTON MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,32-Town: Distant,419,425,415,423,421,419,425,415,420,413,243,225,199,0,0,0,0,0,419,425,415,420,413,409,425,415,423,421,NA,NA,NA,NA,NA,1.30207E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Claxton Middle School,Evans County,13109,30417,Claxton,7,7,419,421,0,0,162,160,133,149,114,99,3,6,0,0,1302070
